[INFO ] [2017-09-18 03:04:41] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:04:42] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:04:42] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:04:43] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:04:44] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:04:44] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:04:44] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:04:45] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:05:02] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:05:02] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
[INFO ] [2017-09-18 03:05:02] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://www.google.com/intl/ua/gmail/about/ 
[INFO ] [2017-09-18 03:05:05] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: gotToURL, line: 47, msg: Navigating to https://accounts.google.com/AccountChooser?service=mail&continue=https://mail.google.com/mail/ 
[INFO ] [2017-09-18 03:05:07] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: quit, line: 41, msg: Quiting browser
[INFO ] [2017-09-18 03:06:09] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 23, msg: Create instance
[INFO ] [2017-09-18 03:06:11] file: WebDriverUtils.java, class: com.epam.lab.seleniumframework.utils.WebDriverUtils, method: getWebDriverThreadLocal, line: 17, msg: Get instance
